Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц,Дата подключения тарифа
34,2185.42,7.2,355.0,101.0,41,37,7,25,0,2016-11-28 18:58:12
19,176.4,3.0,19.0,65.0,0,0,0,0,55,2019-06-21 17:31:37
21,17.96,0.2,21.0,115.0,10,0,0,2,80,2015-08-16 11:45:04
53,16.2,1.5,4.0,8.0,0,0,0,0,0,2016-10-12 15:10:29
53,8.85,1.2,6.0,3.0,0,0,0,0,0,2019-06-12 16:55:06
24,1083.26,8.0,92.0,112.0,88,5,0,7,72,2015-08-19 11:06:09
38,494.69,3.7,49.0,122.0,0,4,1,10,28,2015-06-17 15:49:02
37,359.27,4.0,67.0,47.0,0,12,3,13,12,2016-01-15 10:57:30
50,346.46,4.2,47.0,61.0,5,3,0,15,5,2019-01-11 12:18:49
48,294.84,3.6,45.0,54.0,0,23,0,2,1,2018-08-03 16:46:31
41,395.0,3.9,40.0,102.0,0,0,0,3,64,2016-03-09 13:33:35
36,425.88,4.0,94.0,88.0,26,15,1,14,76,2019-06-08 15:49:58
30,241.36,1.6,70.0,116.0,3,0,0,16,1,2020-10-23 13:45:20
51,1307.25,7.5,99.0,110.0,0,2,0,24,4,2021-01-28 15:24:45
26,423.61,3.5,94.0,57.0,0,0,0,26,34,2016-01-22 17:32:32
52,815.23,5.4,61.0,149.0,4,0,2,7,4,2021-11-06 11:06:07
30,331.75,2.4,62.0,129.0,2,41,0,25,59,2018-05-07 10:56:03
32,132.09,1.7,43.0,51.0,0,12,0,21,40,2016-12-21 14:20:27
57,457.87,3.1,43.0,149.0,2,38,0,5,5,2018-10-04 15:30:39
28,287.54,3.7,46.0,53.0,8,0,0,19,15,2015-02-17 17:51:04
34,214.13,2.3,70.0,35.0,0,0,0,8,17,2021-12-08 12:25:57
58,288.94,2.4,65.0,98.0,0,32,0,5,3,2016-03-07 17:08:38
33,1463.25,6.2,277.0,81.0,25,29,0,30,5,2019-06-07 18:27:19
27,184.98,1.2,62.0,154.0,0,40,1,8,14,2019-02-01 13:01:24
56,193.01,1.5,88.0,77.0,2,0,0,3,5,2016-12-24 12:11:31
40,428.26,3.8,51.0,88.0,2,0,0,8,4,2020-12-06 12:37:02
33,380.1,3.4,60.0,89.0,3,0,0,0,20,2015-01-29 10:01:59
20,466.9,5.8,47.0,68.0,0,3,0,7,44,2020-10-05 15:08:43
28,266.27,2.2,51.0,118.0,0,31,0,12,18,2019-01-16 16:52:56
31,332.58,2.3,110.0,72.0,0,1,0,23,45,2019-07-26 18:45:27
44,64.21,1.2,58.0,3.0,0,0,0,11,37,2016-03-26 10:29:12
35,678.13,7.2,78.0,78.0,33,13,2,5,56,2018-05-18 14:43:41
42,375.19,3.8,44.0,93.0,0,0,0,10,50,2017-12-28 11:19:38
33,362.71,3.9,38.0,92.0,0,0,0,17,14,2019-08-18 14:59:18
58,554.4,5.5,44.0,82.0,0,2,0,0,0,2021-12-28 10:31:18
20,159.38,1.8,34.0,105.0,0,0,0,7,50,2018-08-30 12:07:14
41,386.75,3.4,45.0,98.0,1,2,0,16,33,2019-09-13 17:59:08
64,61.56,2.7,15.0,4.0,0,0,0,2,0,2019-02-25 16:53:13
43,191.61,1.6,67.0,91.0,6,2,0,13,31,2017-09-19 18:49:16
45,4556.84,13.6,402.0,121.0,6,30,0,18,0,2019-05-12 18:48:50
32,612.79,7.4,44.0,68.0,0,0,0,14,22,2016-08-05 14:50:40
23,230.08,4.2,48.0,35.0,6,0,0,4,24,2016-01-09 14:03:46
46,414.69,4.2,48.0,88.0,0,1,0,30,4,2019-02-04 16:06:26
55,122.3,1.5,87.0,6.0,0,15,1,1,5,2021-08-03 17:36:11
23,44.91,0.6,34.0,79.0,9,0,0,0,71,2020-10-22 15:01:35
20,206.71,2.2,53.0,80.0,29,0,0,7,24,2017-05-13 15:23:22
56,592.86,4.1,114.0,67.0,0,0,0,30,3,2015-10-11 16:36:46
55,596.23,6.0,71.0,56.0,0,0,0,18,1,2017-12-19 10:32:54
30,240.98,2.6,59.0,60.0,5,3,0,5,17,2016-03-04 10:35:06
45,623.3,9.5,54.0,26.0,2,3,0,11,4,2015-08-10 12:22:06
37,20.72,2.3,5.0,6.0,0,0,0,0,0,2018-10-06 11:26:22
69,21.12,1.1,3.0,13.0,0,0,0,14,2,2017-02-08 14:19:33
21,10.57,0.1,53.0,110.0,6,0,0,6,23,2018-09-01 10:34:19
21,211.55,2.7,2.0,117.0,8,0,0,1,32,2017-01-29 18:42:16
55,2232.72,7.2,340.0,99.0,8,35,0,55,0,2015-02-01 15:08:07
46,213.29,2.2,53.0,63.0,1,3,0,7,3,2017-12-06 13:52:34
55,685.35,5.3,32.0,158.0,0,38,0,21,5,2016-05-09 17:23:40
53,2541.63,7.0,474.0,82.0,28,9,0,21,11,2016-04-29 12:37:10
29,919.0,6.3,90.0,98.0,8,3,2,7,20,2017-06-05 14:42:25
35,1489.76,10.2,120.0,122.0,51,9,0,0,102,2021-06-05 18:22:31
33,1196.8,5.6,271.0,60.0,9,24,6,11,15,2019-03-14 11:36:53
43,445.9,2.8,103.0,104.0,2,22,0,0,17,2017-06-28 12:25:40
25,212.03,1.3,104.0,86.0,0,0,0,3,41,2017-01-10 17:26:35
66,18.72,1.2,10.0,3.0,0,0,0,14,1,2020-04-13 17:15:44
59,244.67,2.3,50.0,96.0,0,5,0,20,1,2016-11-03 17:48:21
32,367.68,7.4,31.0,31.0,6,0,0,1,14,2018-08-02 13:03:26
43,112.62,1.7,60.0,18.0,2,0,1,9,28,2018-06-16 11:39:49
27,990.12,7.4,91.0,119.0,26,15,2,0,83,2021-11-26 10:20:59
20,77.97,1.8,9.0,58.0,2,0,0,3,44,2020-06-17 10:53:31
52,631.01,7.8,46.0,62.0,0,0,0,7,1,2018-01-25 15:59:37
55,3139.5,13.8,217.0,101.0,14,10,0,20,12,2017-08-05 15:59:30
51,408.67,3.9,55.0,86.0,3,0,0,9,3,2015-03-12 17:34:34
44,543.62,3.4,69.0,152.0,4,0,0,1,57,2020-02-10 12:10:50
59,366.73,3.1,70.0,70.0,0,6,2,6,2,2018-06-12 14:09:35
60,250.88,1.6,64.0,134.0,0,7,0,4,0,2016-09-24 12:05:58
60,1379.74,9.5,59.0,145.0,0,3,0,25,4,2020-11-28 13:36:50
20,194.28,2.5,51.0,69.0,4,0,0,3,37,2015-07-01 16:48:24
38,660.06,6.6,38.0,100.0,6,1,0,11,58,2018-08-13 11:11:39
19,236.1,2.1,47.0,118.0,23,0,0,4,44,2019-11-29 11:28:14
31,839.48,8.2,59.0,107.0,43,45,0,14,99,2020-04-14 10:55:15
43,373.57,3.7,60.0,72.0,3,0,2,9,35,2021-08-03 15:22:06
32,526.16,3.5,68.0,138.0,4,0,2,1,61,2021-12-26 10:54:18
69,1786.79,6.8,306.0,102.0,9,36,0,55,5,2018-03-20 15:32:22
63,80.64,2.4,18.0,10.0,0,0,0,9,3,2019-07-07 14:11:17
40,122.3,2.4,50.0,10.0,0,4,1,10,34,2019-04-16 12:42:23
58,124.22,1.5,66.0,37.0,0,40,0,19,0,2020-09-27 17:59:20
59,294.29,2.8,77.0,56.0,0,0,2,1,1,2021-06-04 11:21:02
70,14.4,1.2,8.0,2.0,0,0,0,14,0,2015-10-30 14:48:08
30,373.66,2.8,99.0,68.0,5,0,0,9,20,2015-11-20 11:19:33
42,39.31,2.4,10.0,10.0,0,0,0,0,0,2015-06-01 18:17:42
58,104.05,1.1,38.0,93.0,3,2,0,5,4,2016-10-23 12:28:52
25,372.77,3.8,55.0,76.0,0,0,0,25,6,2016-11-02 17:56:07
41,282.1,2.6,84.0,37.0,0,0,0,12,1,2020-08-15 16:21:45
52,406.56,2.4,104.0,94.0,2,28,2,27,3,2019-10-10 12:34:47
33,820.26,7.9,62.0,76.0,0,0,0,12,17,2016-02-26 15:49:46
38,311.88,3.6,58.0,54.0,0,0,0,22,5,2021-11-04 13:39:38
59,358.31,4.5,65.0,33.0,0,0,1,13,3,2015-03-29 10:33:25
50,3224.24,14.8,246.0,92.0,8,23,0,16,12,2017-07-12 17:48:53
56,75.84,1.1,31.0,54.0,1,0,0,26,3,2021-07-24 17:54:38
29,2169.72,19.6,79.0,94.0,23,7,0,4,61,2019-07-11 14:39:31
39,559.16,5.7,66.0,61.0,0,30,0,6,40,2015-07-13 18:09:55
57,569.8,4.4,67.0,89.0,2,0,0,3,1,2015-02-08 17:27:35
58,769.86,5.2,42.0,151.0,3,6,0,13,4,2018-06-03 17:38:24
19,548.65,6.6,7.0,109.0,29,0,0,4,24,2018-04-12 11:05:40
51,195.72,2.4,48.0,49.0,1,24,0,18,4,2018-10-19 16:30:53
52,17.69,1.8,8.0,4.0,0,0,0,0,0,2020-10-18 18:15:07
55,482.08,4.4,62.0,84.0,2,0,0,11,3,2019-02-13 12:25:20
20,63.32,0.7,25.0,112.0,10,0,1,7,24,2016-06-01 18:33:37
59,180.59,6.3,29.0,4.0,0,0,0,14,1,2015-11-05 10:50:06
62,60.48,2.1,15.0,9.0,0,0,0,2,1,2016-08-18 15:08:07
54,626.81,4.1,60.0,156.0,0,0,0,14,2,2019-05-12 18:49:50
38,708.75,7.5,67.0,40.0,0,20,0,28,57,2021-08-04 14:03:18
54,447.17,4.5,45.0,92.0,0,4,0,26,3,2015-04-21 13:31:36
52,866.83,8.1,48.0,96.0,8,3,0,3,0,2018-08-02 18:55:14
54,35.88,2.3,8.0,5.0,0,0,0,9,2,2021-05-02 17:27:09
65,1783.73,7.8,211.0,142.0,12,8,9,16,0,2019-04-23 12:08:21
49,220.15,2.4,53.0,68.0,2,24,0,25,1,2018-08-26 17:40:48
25,288.12,2.1,46.0,129.0,4,0,0,23,47,2019-11-07 10:44:42
45,19.66,1.5,5.0,11.0,0,0,0,0,0,2017-04-18 16:27:31
62,32.64,1.7,5.0,11.0,0,0,0,7,0,2021-05-14 12:55:50
59,886.96,5.9,99.0,95.0,2,0,0,7,4,2017-10-22 18:35:06
48,362.39,3.1,64.0,77.0,0,2,0,1,3,2020-04-03 13:50:51
31,146.02,1.4,70.0,50.0,0,39,2,1,30,2018-04-29 10:13:06
48,191.29,2.1,52.0,70.0,0,0,2,19,5,2018-03-03 15:42:44
67,22.08,2.3,5.0,3.0,0,0,0,5,3,2017-09-02 15:02:30
50,232.75,1.9,65.0,84.0,0,0,0,10,5,2019-12-21 14:10:29
20,23.09,0.5,10.0,59.0,7,2,0,7,78,2016-02-04 10:21:01
46,4062.03,13.8,313.0,94.0,27,9,0,23,9,2021-09-03 16:48:16
59,453.7,3.7,53.0,117.0,3,0,0,11,4,2016-11-05 18:31:11
25,587.63,8.2,38.0,59.0,1,0,0,2,55,2019-01-27 10:30:21
57,536.61,5.2,45.0,97.0,4,5,0,4,3,2015-02-27 15:10:44
40,406.0,2.9,76.0,92.0,2,14,0,10,3,2016-08-20 10:54:34
20,189.19,1.8,57.0,108.0,0,2,0,4,73,2016-04-01 13:56:24
35,173.77,1.6,71.0,68.0,5,3,1,20,59,2016-03-11 17:31:55
36,1094.51,7.8,104.0,138.0,30,5,0,2,118,2015-03-18 17:52:14
24,131.03,2.2,11.0,79.0,7,0,0,4,48,2017-10-24 12:16:09
45,644.87,5.1,31.0,153.0,3,11,0,17,5,2020-09-05 15:42:48
43,479.47,7.8,45.0,32.0,1,30,0,6,40,2021-08-12 15:21:38
20,56.0,2.0,37.0,3.0,0,0,0,4,56,2015-02-04 13:56:56
26,214.41,1.7,69.0,99.0,4,12,1,18,27,2021-10-15 13:14:05
34,389.19,3.6,96.0,79.0,46,2,2,12,81,2018-03-20 12:23:59
70,28.56,3.4,2.0,5.0,0,0,0,9,1,2017-09-06 12:06:37
68,19.44,1.8,2.0,7.0,0,0,0,13,3,2017-05-25 15:44:40
40,376.85,3.4,69.0,75.0,4,21,0,9,8,2018-02-18 11:05:26
26,2286.6,14.8,99.0,137.0,43,7,0,9,58,2018-05-31 15:31:36
51,1053.53,7.4,163.0,55.0,11,58,0,32,10,2019-05-23 16:37:19
54,168.17,2.2,42.0,61.0,0,0,0,12,5,2018-01-21 16:26:23
30,291.62,4.2,38.0,55.0,0,26,0,1,23,2021-10-03 15:43:01
63,66.24,2.4,16.0,7.0,0,0,0,7,1,2021-07-08 12:04:21
40,473.74,3.7,59.0,118.0,0,5,0,4,18,2021-07-03 14:16:29
31,581.91,5.1,53.0,88.0,0,42,2,19,25,2019-05-12 16:07:04
65,43.2,2.4,8.0,7.0,0,0,0,10,3,2015-04-11 17:26:47
39,770.52,6.4,50.0,119.0,0,37,0,15,47,2021-08-22 16:29:34
65,33.6,2.8,5.0,5.0,0,0,0,5,3,2020-02-16 15:16:26
32,861.3,6.6,92.0,111.0,29,8,0,0,103,2016-06-08 13:52:48
68,55.44,1.4,25.0,8.0,0,0,0,7,2,2016-09-29 13:40:43
52,346.53,3.2,73.0,66.0,2,22,0,4,4,2015-08-24 12:05:59
39,208.74,2.9,65.0,21.0,0,0,1,20,33,2017-01-14 12:45:46
53,9.91,1.1,4.0,7.0,0,0,0,0,0,2016-11-16 12:50:43
41,128.51,1.5,79.0,21.0,5,2,1,15,70,2021-01-06 12:12:41
21,203.52,3.0,26.0,78.0,5,2,0,0,95,2017-01-06 15:15:25
31,645.64,4.3,106.0,65.0,1,2,0,1,47,2018-09-30 10:57:37
38,227.41,3.0,35.0,70.0,0,0,0,20,18,2017-12-31 10:44:46
54,298.88,3.4,63.0,49.0,0,36,0,11,5,2019-09-17 16:43:38
48,183.46,3.0,53.0,22.0,0,0,0,14,4,2016-12-23 14:44:06
47,513.17,7.6,29.0,64.0,2,10,0,1,5,2021-05-23 17:36:36
37,513.68,5.6,43.0,83.0,0,30,0,30,64,2018-09-16 13:03:25
47,444.64,3.2,70.0,99.0,3,0,0,9,4,2020-01-27 13:45:54
32,1066.97,10.0,56.0,87.0,3,18,1,11,29,2019-12-08 15:30:50
54,43.56,3.3,5.0,6.0,0,0,0,1,3,2020-08-02 14:55:05
26,56.57,1.2,50.0,3.0,0,3,3,9,27,2018-09-22 17:43:05
31,275.83,3.7,31.0,61.0,3,0,0,7,36,2015-09-06 18:58:41
58,152.88,1.4,68.0,58.0,4,0,0,21,1,2015-02-02 10:47:50
25,3267.75,8.6,477.0,112.0,15,38,0,51,13,2020-02-06 11:11:27
60,245.28,1.7,99.0,85.0,3,0,3,1,2,2015-01-15 14:33:46
29,185.94,2.1,55.0,61.0,0,28,0,13,59,2016-10-25 13:16:27
21,505.93,4.9,37.0,107.0,7,0,0,5,92,2019-05-01 11:18:27
43,354.01,3.9,67.0,47.0,1,0,0,3,33,2016-10-30 15:51:07
34,1393.56,9.8,132.0,83.0,44,40,0,12,89,2015-07-08 12:44:37
39,212.62,2.7,55.0,34.0,3,3,0,2,25,2021-02-13 16:22:28
45,20.72,2.3,8.0,3.0,0,0,0,0,0,2015-03-30 14:03:40
63,55.68,1.6,16.0,13.0,0,0,0,3,0,2019-02-19 13:25:26
45,334.43,3.0,89.0,49.0,0,4,0,0,4,2019-04-15 12:46:54
21,216.82,2.1,42.0,102.0,7,0,0,4,59,2015-10-31 10:30:58
43,204.68,3.4,45.0,20.0,6,0,1,19,28,2016-11-20 15:44:02
33,441.28,3.6,52.0,139.0,67,3,2,14,23,2021-10-20 11:49:47
60,405.64,3.2,42.0,139.0,2,0,0,1,3,2017-10-08 16:31:02
56,460.25,5.0,62.0,42.0,3,0,0,12,5,2020-05-01 11:40:46
45,13.27,0.9,6.0,12.0,0,0,0,0,0,2019-06-13 12:41:42
40,2019.74,7.8,287.0,115.0,9,30,0,24,10,2017-06-03 11:48:23
33,1003.2,8.0,119.0,70.0,40,7,0,10,29,2018-02-27 10:34:32
33,116.32,1.1,71.0,66.0,0,0,0,0,47,2017-08-25 10:59:57
25,155.68,2.6,31.0,50.0,0,27,0,5,42,2020-08-28 17:30:40
21,83.51,2.3,48.0,5.0,8,0,1,0,43,2017-04-05 16:25:12
56,191.55,3.1,34.0,47.0,4,29,0,8,2,2015-06-26 15:25:54
59,469.28,5.3,54.0,63.0,0,1,0,6,4,2021-05-23 17:38:51
56,337.68,2.4,57.0,119.0,4,2,2,15,4,2020-05-15 15:02:26
50,876.12,8.4,42.0,90.0,0,1,0,22,2,2018-05-23 12:56:48
69,25.2,3.0,3.0,4.0,0,0,0,7,3,2018-06-19 15:16:57
50,1215.4,9.0,50.0,142.0,0,2,0,13,3,2015-04-30 14:43:48
35,513.42,5.2,32.0,110.0,0,39,0,14,64,2021-07-12 18:57:47
26,842.58,6.2,77.0,112.0,75,4,0,7,32,2016-03-22 10:03:57
28,722.03,5.8,92.0,118.0,36,13,0,14,65,2018-02-21 15:44:39
53,703.5,7.5,36.0,83.0,2,31,0,21,2,2018-02-01 16:36:41
43,742.49,9.4,46.0,56.0,6,3,0,20,51,2021-06-22 18:26:07
49,342.26,2.7,38.0,146.0,0,43,0,5,5,2019-05-01 17:18:13
53,196.0,1.7,65.0,90.0,0,0,0,27,2,2018-06-18 12:48:36
28,517.34,3.7,65.0,125.0,5,0,1,14,42,2021-04-20 18:31:10
53,275.25,2.9,67.0,54.0,0,0,0,10,2,2021-03-22 15:58:20
33,1450.61,16.2,78.0,73.0,26,49,1,0,51,2019-04-26 18:04:27
54,346.27,3.6,55.0,73.0,0,4,0,20,2,2016-08-23 16:24:50
49,104.34,1.3,36.0,74.0,2,0,0,26,3,2019-11-10 12:54:47
56,312.89,3.2,57.0,72.0,3,30,0,10,0,2015-02-08 11:50:34
50,373.47,2.2,106.0,117.0,1,1,0,10,2,2020-08-26 18:09:04
36,1453.45,8.8,116.0,155.0,63,20,3,4,97,2015-01-15 10:08:57
55,330.22,2.7,70.0,93.0,2,0,1,10,4,2016-02-06 13:38:33
53,108.8,2.8,31.0,18.0,0,0,0,7,3,2020-03-02 16:42:06
54,271.11,2.8,70.0,54.0,0,28,0,19,4,2015-08-03 15:16:59
40,164.41,2.9,44.0,23.0,8,0,1,15,25,2016-10-03 18:11:46
37,256.71,2.6,48.0,86.0,4,0,0,18,68,2021-05-22 17:17:57
58,578.4,4.0,71.0,127.0,0,37,0,14,4,2019-11-25 14:44:50
30,258.37,2.6,69.0,58.0,2,31,0,6,24,2017-11-27 13:43:46
38,202.69,3.7,39.0,31.0,0,0,0,28,28,2017-06-10 16:46:56
21,331.75,6.2,3.0,71.0,20,0,0,7,49,2019-12-30 17:32:40
21,530.11,7.3,34.0,80.0,0,0,0,4,57,2020-09-28 11:20:16
45,102.43,1.2,62.0,47.0,0,31,0,6,4,2017-07-18 14:50:04
46,527.44,4.6,61.0,92.0,4,1,1,24,5,2019-05-18 16:21:26
58,291.2,3.2,37.0,78.0,0,6,0,13,0,2017-12-18 13:56:05
44,9.72,1.8,3.0,3.0,0,0,0,0,0,2017-03-04 16:31:27
33,1390.99,13.2,72.0,75.0,92,29,2,7,21,2019-10-31 15:13:22
36,1674.04,12.0,95.0,140.0,41,8,0,13,146,2021-10-12 16:46:23
29,162.56,2.2,54.0,40.0,0,0,0,25,20,2020-03-10 18:49:10
43,344.4,3.0,34.0,116.0,0,0,3,1,21,2017-04-03 13:47:12
50,122.3,1.6,58.0,37.0,2,0,0,2,4,2020-11-21 15:53:33
49,1020.47,8.9,52.0,106.0,2,7,0,26,4,2021-05-01 13:55:11
51,223.14,3.1,38.0,59.0,0,1,0,16,5,2017-04-24 12:01:54
47,385.07,2.6,97.0,94.0,3,3,0,1,4,2017-09-20 17:26:20
34,980.4,7.6,52.0,132.0,62,47,0,5,33,2016-07-04 16:51:42
36,306.07,3.3,50.0,58.0,7,27,0,2,1,2018-01-20 16:45:42
20,190.34,2.4,39.0,81.0,9,0,0,0,15,2017-03-27 10:06:06
31,1410.0,9.5,51.0,159.0,4,32,0,12,39,2019-09-04 10:26:25
39,631.78,5.8,61.0,85.0,0,0,0,14,38,2017-08-31 18:05:46
50,547.82,4.3,46.0,117.0,0,0,1,18,2,2017-03-08 16:46:27
43,117.72,1.1,58.0,87.0,0,0,0,6,7,2017-06-28 16:03:45
45,105.11,1.3,48.0,46.0,3,25,0,1,2,2016-11-03 10:45:23
35,452.44,3.1,66.0,114.0,3,18,0,1,45,2019-02-01 12:06:50
20,225.5,2.4,29.0,116.0,5,0,0,7,19,2017-09-02 14:38:55
19,29.81,0.8,52.0,3.0,7,0,0,0,57,2015-09-04 11:28:24
50,5.41,1.1,3.0,3.0,0,0,0,0,0,2018-12-09 12:44:25
39,335.51,2.3,75.0,123.0,2,27,0,14,14,2018-09-29 13:25:56
43,150.49,1.5,30.0,115.0,1,0,0,16,7,2016-02-27 10:14:31
27,304.17,2.5,57.0,109.0,4,0,0,11,15,2021-10-14 10:06:20
26,4670.61,12.2,489.0,112.0,0,30,0,19,10,2021-12-13 14:28:57
32,972.32,8.4,71.0,126.0,30,5,0,12,118,2019-12-27 17:02:20
21,143.61,2.7,35.0,44.0,9,0,0,5,12,2016-05-13 18:16:10
58,1026.59,7.9,78.0,94.0,0,28,2,15,4,2020-04-30 17:32:15
52,508.73,4.5,67.0,66.0,3,6,0,20,2,2021-04-22 15:06:07
42,3584.98,11.6,314.0,107.0,41,21,0,35,7,2017-03-22 10:10:42
37,225.12,3.8,37.0,41.0,0,4,0,18,20,2018-02-09 15:40:34
46,230.98,3.7,59.0,14.0,2,0,0,22,5,2017-12-05 18:38:36
53,1029.0,8.4,53.0,100.0,2,0,0,12,2,2019-01-24 16:04:14
53,123.07,1.2,87.0,38.0,0,6,2,16,0,2020-08-09 12:27:05
69,103.68,2.4,23.0,13.0,0,0,0,2,3,2018-01-06 14:40:23
39,12.96,1.2,6.0,6.0,0,0,0,0,0,2020-09-06 12:51:33
45,847.08,6.1,55.0,140.0,0,23,0,3,4,2016-07-18 12:59:54
59,861.22,8.0,44.0,107.0,0,24,0,16,4,2021-07-01 14:58:37
42,755.16,9.3,53.0,42.0,0,0,0,0,26,2018-12-21 12:59:38
56,240.28,4.6,36.0,32.0,0,0,0,6,5,2020-08-04 17:53:28
58,358.4,3.2,68.0,60.0,8,31,0,28,4,2017-07-12 16:53:26
53,16.38,1.4,6.0,6.0,2,0,0,0,0,2020-01-23 15:30:17
35,1013.7,6.2,104.0,152.0,33,6,2,2,132,2017-12-31 12:02:58
35,163.8,3.6,40.0,9.0,0,0,0,11,20,2020-02-28 15:15:02
63,53.76,1.6,15.0,13.0,0,0,0,4,0,2020-11-16 17:05:13
39,368.48,2.8,68.0,92.0,0,1,0,19,64,2017-10-17 14:30:36
19,7.64,0.3,31.0,9.0,0,0,0,0,32,2016-07-22 16:12:32
45,608.84,5.4,43.0,117.0,0,36,0,19,2,2021-03-11 17:53:48
19,374.56,4.0,32.0,115.0,0,2,0,4,28,2020-02-15 16:42:52
24,1325.8,7.6,135.0,134.0,101,5,2,11,30,2018-07-21 10:32:34
35,679.28,6.6,72.0,74.0,85,6,0,4,141,2020-11-06 16:32:36
45,212.5,2.4,65.0,46.0,2,41,2,12,0,2017-08-17 15:35:55
37,384.93,3.9,29.0,100.0,0,0,0,1,57,2018-02-07 14:43:06
52,379.14,6.4,60.0,8.0,2,32,0,13,1,2016-06-24 16:52:52
37,329.97,3.7,59.0,57.0,0,0,0,1,39,2019-02-11 11:07:31
27,123.45,1.2,67.0,65.0,3,1,3,5,18,2020-07-15 15:50:20
54,2597.0,10.6,226.0,119.0,10,9,6,22,8,2018-12-30 14:24:43
32,463.74,7.0,70.0,4.0,4,6,0,0,12,2016-09-30 10:02:18
57,583.38,3.6,95.0,97.0,1,0,0,16,4,2017-04-15 11:13:49
42,603.62,4.6,47.0,140.0,0,42,0,1,40,2020-12-16 13:20:21
43,447.17,3.9,61.0,94.0,0,34,0,19,24,2016-08-23 14:15:43
48,231.49,4.6,29.0,36.0,4,0,1,0,1,2015-06-11 14:45:07
68,31.68,2.2,6.0,6.0,0,0,0,3,3,2021-11-01 14:09:09
58,37.44,2.6,3.0,9.0,0,0,0,10,0,2018-03-19 18:57:24
60,601.97,5.0,40.0,133.0,0,0,0,20,1,2016-01-05 14:15:13
39,534.95,6.8,45.0,57.0,5,0,0,28,42,2021-07-27 12:45:15
44,356.26,2.9,58.0,93.0,1,36,0,10,43,2021-05-24 16:37:24
48,508.33,6.0,39.0,76.0,4,36,0,17,0,2021-12-07 13:41:49
54,169.57,1.7,53.0,67.0,3,0,0,10,4,2019-08-22 15:37:32
21,43.48,0.5,30.0,102.0,9,0,0,0,36,2017-02-24 11:20:55
40,428.45,3.8,34.0,129.0,0,25,0,19,31,2015-12-30 10:46:42
57,793.8,4.5,80.0,139.0,0,16,0,8,3,2017-05-25 10:56:39
19,180.59,2.7,11.0,94.0,0,0,0,6,53,2017-05-13 10:42:59
37,894.35,5.4,107.0,109.0,0,0,0,2,3,2021-07-11 17:52:16
26,1241.58,8.9,108.0,65.0,4,0,0,17,41,2019-05-19 17:36:08
57,410.87,3.0,48.0,147.0,0,0,0,10,1,2019-03-16 17:59:48
60,478.45,3.7,43.0,142.0,2,7,0,0,5,2018-11-24 12:58:10
33,1027.03,9.0,105.0,69.0,70,9,0,11,63,2021-04-14 15:43:18
31,221.68,2.9,52.0,47.0,0,0,0,3,13,2021-05-02 12:57:25
51,223.44,2.4,50.0,62.0,0,0,0,15,2,2015-03-14 14:36:10
28,1214.85,8.9,52.0,119.0,6,1,1,1,22,2020-06-04 14:47:48
53,345.29,3.7,36.0,94.0,3,0,0,0,5,2018-02-28 10:15:53
43,293.53,2.4,69.0,95.0,0,0,0,12,11,2018-03-29 13:28:45
32,430.74,4.2,74.0,56.0,2,0,2,30,57,2019-01-18 18:28:11
33,1824.08,14.4,115.0,106.0,22,3,0,0,73,2016-06-26 10:40:27
25,4160.12,11.6,429.0,120.0,28,8,7,20,0,2020-11-16 17:13:08
20,65.58,2.9,25.0,9.0,3,3,0,3,14,2019-04-22 17:32:49
24,1350.18,7.8,112.0,158.0,37,5,0,5,88,2019-11-20 17:23:07
51,331.69,2.7,70.0,76.0,1,6,0,25,5,2021-04-24 17:50:18
20,214.22,5.9,50.0,4.0,6,0,0,0,100,2015-04-17 10:17:34
43,94.08,1.2,34.0,64.0,0,5,0,7,2,2021-05-17 12:20:18
44,106.67,1.7,47.0,31.0,3,22,2,1,16,2015-11-05 17:33:05
44,117.05,1.5,62.0,33.0,3,6,0,24,45,2019-04-16 12:20:28
43,17.55,1.5,3.0,10.0,0,0,0,0,0,2020-11-08 16:31:03
20,282.06,2.7,45.0,115.0,8,0,0,0,71,2021-07-05 10:31:26
40,277.76,2.7,31.0,117.0,3,4,0,18,22,2019-04-19 13:31:36
48,287.28,2.7,60.0,68.0,0,25,0,2,3,2016-02-07 11:33:40
46,680.83,6.4,53.0,93.0,0,7,0,1,4,2020-10-31 11:13:33
43,375.0,2.9,111.0,46.0,0,5,1,19,57,2015-03-05 17:44:09
60,599.29,6.4,57.0,67.0,0,4,0,6,3,2018-01-21 15:58:33
21,7.28,0.1,24.0,71.0,18,0,0,2,22,2021-12-07 10:22:59
34,700.77,7.1,48.0,73.0,0,11,3,9,36,2020-06-05 12:53:25
51,15.84,1.1,6.0,10.0,0,0,0,0,0,2017-10-10 12:42:06
48,221.68,2.4,68.0,49.0,0,0,0,10,2,2021-08-27 12:51:37
38,691.6,6.5,59.0,69.0,0,6,0,20,40,2021-09-18 13:22:51
39,289.52,2.2,41.0,130.0,0,37,0,26,21,2021-02-04 15:13:46
39,252.56,2.2,70.0,66.0,0,2,0,20,51,2021-06-11 16:03:56
49,251.37,6.3,31.0,13.0,0,29,0,4,3,2019-04-01 13:05:02
21,26.75,1.4,21.0,9.0,0,0,0,2,35,2016-12-11 14:39:24
